deal_owner_name,deals,paid_deals,paid_rate,revenue_cash,revenue_contract,sla_minutes_median,cash_per_paid,contract_per_paid
Charlie Davis,2963,148,0.04994937563280459,131250.0,1054000.0,265.75,886.8243243243244,7121.621621621622
Ulysses Adams,2165,141,0.0651270207852194,127100.0,1007500.0,295.4666666666667,901.418439716312,7145.390070921986
Julia Nelson,2241,93,0.041499330655957165,78051.0,720501.0,428.1166666666667,839.258064516129,7747.322580645161
Paula Underwood,1862,93,0.04994629430719656,98150.0,693000.0,294.7083333333333,1055.3763440860216,7451.612903225807
Oliver Taylor,163,50,0.3067484662576687,46750.0,524500.0,179.59166666666667,935.0,10490.0
Quincy Vincent,1884,65,0.034501061571125265,72400.0,465000.0,348.2416666666667,1113.8461538461538,7153.846153846154
Ben Hall,1345,46,0.03420074349442379,55200.0,344500.0,319.4166666666667,1200.0,7489.130434782609
Victor Barnes,1232,44,0.03571428571428571,63200.0,335900.0,332.825,1436.3636363636363,7634.090909090909
Nina Scott,1283,46,0.03585346843335931,40700.0,312000.0,521.9916666666667,884.7826086956521,6782.608695652174
Cara Iverson,1056,27,0.02556818181818182,151900.0,218000.0,396.73333333333335,5625.925925925926,8074.074074074074
Jane Smith,988,31,0.03137651821862348,27200.0,215500.0,152.99166666666667,877.4193548387096,6951.612903225807
Kevin Parker,574,40,0.06968641114982578,23950.0,208500.0,757.75,598.75,5212.5
Eva Kent,459,18,0.0392156862745098,16600.0,129500.0,255.3,922.2222222222222,7194.444444444444
Ian Miller,497,8,0.01609657947686117,8050.0,35500.0,314.55,1006.25,4437.5
Mason Roberts,268,3,0.011194029850746268,1900.0,19000.0,691.7333333333333,633.3333333333334,6333.333333333333
George King,94,2,0.02127659574468085,900.0,9000.0,305.16666666666663,450.0,4500.0
Diana Evans,1013,1,0.0009871668311944718,350.0,3500.0,219.10833333333335,350.0,3500.0
Alice Johnson,25,0,0.0,0.0,0.0,621.0333333333333,,
Amy Green,66,0,0.0,0.0,0.0,416.26666666666665,,
Bob Brown,336,0,0.0,0.0,0.0,54.916666666666664,,
John Doe,19,1,0.05263157894736842,0.0,0.0,5422.583333333333,0.0,0.0
NA,31,1,0.03225806451612903,0.0,0.0,72.78333333333333,0.0,0.0
Sam Young,67,0,0.0,0.0,0.0,758.6583333333333,,
Rachel White,870,0,0.0,0.0,0.0,842.2833333333333,,
Wendy Clark,2,0,0.0,0.0,0.0,,,
Xander Dean,3,0,0.0,0.0,0.0,5303.183333333333,,
Yara Edwards,85,0,0.0,0.0,0.0,605.4666666666667,,
Zachary Foster,1,0,0.0,0.0,0.0,1488.0,,
