call_owner_name,count,share_pct
Yara Edwards,9059,9.45
Julia Nelson,7446,7.77
Ian Miller,7215,7.53
Charlie Davis,7213,7.52
Diana Evans,6857,7.15
Ulysses Adams,6085,6.35
Amy Green,5982,6.24
Nina Scott,5581,5.82
Victor Barnes,5439,5.67
Kevin Parker,5406,5.64
Paula Underwood,4580,4.78
Quincy Vincent,4384,4.57
Jane Smith,3753,3.91
Cara Iverson,3300,3.44
John Doe,2986,3.11
Ben Hall,2947,3.07
Alice Johnson,1251,1.3
Mason Roberts,1166,1.22
Derek James,948,0.99
George King,850,0.89
Zachary Foster,523,0.55
Eva Kent,498,0.52
Fiona Jackson,470,0.49
Sam Young,457,0.48
Rachel White,441,0.46
Xander Dean,304,0.32
Ethan Harris,280,0.29
Hannah Lee,175,0.18
Wendy Clark,162,0.17
Bob Brown,99,0.1
