deal_owner_name,count,share_pct
Charlie Davis,2963,13.72
Julia Nelson,2241,10.38
Ulysses Adams,2165,10.03
Quincy Vincent,1884,8.73
Paula Underwood,1862,8.62
Ben Hall,1345,6.23
Nina Scott,1283,5.94
Victor Barnes,1232,5.71
Cara Iverson,1056,4.89
Diana Evans,1013,4.69
Jane Smith,988,4.58
Rachel White,870,4.03
Kevin Parker,574,2.66
Ian Miller,497,2.3
Eva Kent,459,2.13
Bob Brown,336,1.56
Mason Roberts,268,1.24
Oliver Taylor,163,0.75
George King,94,0.44
Yara Edwards,85,0.39
Sam Young,67,0.31
Amy Green,66,0.31
NA,31,0.14
Alice Johnson,25,0.12
John Doe,19,0.09
Xander Dean,3,0.01
Wendy Clark,2,0.01
Zachary Foster,1,0.0
